Freund	arkadaş
schon [nicht mehr]	artık
Anwalt	avukat
ledig	bekar
Messer	bıçak
etwas	biraz
fleißig	çalışkan
Glas	cam
auch	da
noch [mehr]	daha
andere	diğer
verheiratet	evli
Sieger	galip
Journalist	gazeteci
krank	hasta
bereit	hazır
Krankenschwester	hemşire
hingegen	ise
geschlossen	kapalı
Löffel	kaşık
Person	kişi
eifersüchtig	kiskanç
blind	kör
Kurde	Kürt
Restaurant	lokanta
unterlegen	mağlup
Direktor	müdür
bedürftig	muhtaç
glücklich	mutlu
fröhlich	neşeli
verlobt	nişanlı
Schüler	öğrenci
romantisch	romantik
jetzt	şimdi
Teller	tabak
Urlaub	tatil
sauber	temiz
Tourist	turist
Türke	Türk
brav	uslu
traurig	üzgün
Vase	vazo
alt [betagt]	yaşlı
müde	yorgun
